기간,자치구,구분,합계,5년 미만,10년 미만,15년 미만,15년 이상
2012,종로구,발생건수,1374,198,192,213,700
2012,종로구,사망자수,12,3,1,1,7
2012,중구,발생건수,1458,203,204,203,761
2012,중구,사망자수,12,0,3,0,9
2012,용산구,발생건수,1203,168,169,163,603
2012,용산구,사망자수,11,1,3,1,6
2012,성동구,발생건수,986,165,126,144,463
2012,성동구,사망자수,6,0,1,0,5
2012,광진구,발생건수,1494,231,189,238,699
2012,광진구,사망자수,17,0,0,3,10
2012,동대문구,발생건수,1881,275,260,268,917
2012,동대문구,사망자수,20,3,5,2,6
2012,중랑구,발생건수,1753,303,225,258,784
2012,중랑구,사망자수,11,0,2,0,7
2012,성북구,발생건수,1572,261,221,219,769
2012,성북구,사망자수,11,2,1,1,5
2012,강북구,발생건수,1212,172,166,173,620
2012,강북구,사망자수,9,2,1,1,4
2012,도봉구,발생건수,983,167,132,139,454
2012,도봉구,사망자수,16,3,2,0,11
2012,노원구,발생건수,1623,272,192,228,792
2012,노원구,사망자수,13,2,0,2,6
2012,은평구,발생건수,1519,265,183,216,698
2012,은평구,사망자수,21,3,2,4,12
2012,서대문구,발생건수,1041,145,134,168,531
2012,서대문구,사망자수,13,3,3,2,5
2012,마포구,발생건수,1561,231,237,254,734
2012,마포구,사망자수,23,2,7,1,12
2012,양천구,발생건수,1418,214,180,194,707
2012,양천구,사망자수,14,4,0,1,7
2012,강서구,발생건수,1767,280,211,283,843
2012,강서구,사망자수,25,4,5,3,11
2012,구로구,발생건수,1582,327,231,226,648
2012,구로구,사망자수,21,4,4,2,10
2012,금천구,발생건수,1017,186,123,152,475
2012,금천구,사망자수,21,2,3,2,12
2012,영등포구,발생건수,2179,333,328,340,1021
2012,영등포구,사망자수,32,5,5,6,13
2012,동작구,발생건수,1258,188,199,192,596
2012,동작구,사망자수,14,0,3,1,10
2012,관악구,발생건수,1713,309,222,259,805
2012,관악구,사망자수,20,3,4,4,7
2012,서초구,발생건수,2090,298,268,320,1045
2012,서초구,사망자수,25,5,2,4,14
2012,강남구,발생건수,3843,562,587,583,1828
2012,강남구,사망자수,25,4,2,8,9
2012,송파구,발생건수,2844,427,375,465,1362
2012,송파구,사망자수,14,0,2,1,11
2012,강동구,발생건수,1458,212,170,231,729
2012,강동구,사망자수,18,4,3,3,6
