기간,자치구,구분,합계,5년 미만,10년 미만,15년 미만,15년 이상,기타불명
2012,합계,발생건수,40829,6392,5524,6129,19584,3200
2012,합계,사망자수,424,59,64,53,215,33
2012,합계,부상자수,58583,9326,8181,8992,28247,3837
2012,종로구,발생건수,1374,198,192,213,700,71
2012,종로구,사망자수,12,3,1,1,7,-
2012,종로구,부상자수,1994,291,268,319,1027,89
2012,중구,발생건수,1458,203,204,203,761,87
2012,중구,사망자수,12,-,3,-,9,-
2012,중구,부상자수,2018,289,288,279,1041,121
2012,용산구,발생건수,1203,168,169,163,603,100
2012,용산구,사망자수,11,1,3,1,6,-
2012,용산구,부상자수,1809,263,239,234,947,126
2012,성동구,발생건수,986,165,126,144,463,88
2012,성동구,사망자수,6,-,1,-,5,-
2012,성동구,부상자수,1400,235,182,221,663,99
2012,광진구,발생건수,1494,231,189,238,699,137
2012,광진구,사망자수,17,-,-,3,10,4
2012,광진구,부상자수,2190,344,281,368,1026,171
2012,동대문구,발생건수,1881,275,260,268,917,161
2012,동대문구,사망자수,20,3,5,2,6,4
2012,동대문구,부상자수,2511,381,358,381,1211,180
2012,중랑구,발생건수,1753,303,225,258,784,183
2012,중랑구,사망자수,11,-,2,-,7,2
2012,중랑구,부상자수,2401,428,310,372,1064,227
2012,성북구,발생건수,1572,261,221,219,769,102
2012,성북구,사망자수,11,2,1,1,5,2
2012,성북구,부상자수,2055,342,293,290,1006,124
2012,강북구,발생건수,1212,172,166,173,620,81
2012,강북구,사망자수,9,2,1,1,4,1
2012,강북구,부상자수,1680,234,254,259,834,99
2012,도봉구,발생건수,983,167,132,139,454,91
2012,도봉구,사망자수,16,3,2,-,11,-
2012,도봉구,부상자수,1294,229,193,186,590,96
2012,노원구,발생건수,1623,272,192,228,792,139
2012,노원구,사망자수,13,2,-,2,6,3
2012,노원구,부상자수,2330,384,297,373,1117,159
2012,은평구,발생건수,1519,265,183,216,698,157
2012,은평구,사망자수,21,3,2,4,12,-
2012,은평구,부상자수,2197,371,259,307,1079,181
2012,서대문구,발생건수,1041,145,134,168,531,63
2012,서대문구,사망자수,13,3,3,2,5,-
2012,서대문구,부상자수,1645,245,205,261,855,79
2012,마포구,발생건수,1561,231,237,254,734,105
2012,마포구,사망자수,23,2,7,1,12,1
2012,마포구,부상자수,2363,356,352,387,1139,129
2012,양천구,발생건수,1418,214,180,194,707,123
2012,양천구,사망자수,14,4,-,1,7,2
2012,양천구,부상자수,2036,307,303,286,996,144
2012,강서구,발생건수,1767,280,211,283,843,150
2012,강서구,사망자수,25,4,5,3,11,2
2012,강서구,부상자수,2573,424,334,405,1231,179
2012,구로구,발생건수,1582,327,231,226,648,150
2012,구로구,사망자수,21,4,4,2,10,1
2012,구로구,부상자수,2366,494,337,358,995,182
2012,금천구,발생건수,1017,186,123,152,475,81
2012,금천구,사망자수,21,2,3,2,12,2
2012,금천구,부상자수,1540,288,226,217,708,101
2012,영등포구,발생건수,2179,333,328,340,1021,157
2012,영등포구,사망자수,32,5,5,6,13,3
